1987,10,14,3,741,730,912,849,PS,1451,NA,91,79,NA,23,11,SAN,PHL,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,729,730,903,849,PS,1451,NA,94,79,NA,14,-1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,741,730,918,849,PS,1451,NA,97,79,NA,29,11,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,627,630,742,742,TW,223,NA,135,132,NA,0,-3,PHL,SFO,813,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,630,630,805,742,UA,223,NA,155,132,NA,23,0,PHL,STL,813,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,629,630,744,751,TW,223,NA,135,141,NA,-7,-1,PHL,STL,813,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,631,630,751,753,TW,223,NA,140,143,NA,-2,1,PHL,STL,813,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,9,6,1348,1331,1458,1435,PI,942,NA,70,64,NA,23,17,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,10,7,1334,1331,1443,1435,PI,942,NA,69,64,NA,8,3,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,11,1,1446,1331,1553,1435,PI,942,NA,67,64,NA,78,75,SYR,BWI,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,8,5,1400,1400,1714,1711,UA,90,NA,134,131,NA,3,0,LAX,DEN,862,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,9,6,1359,1400,1710,1711,UA,90,NA,131,131,NA,-1,-1,LAX,DEN,862,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,11,1,1406,1400,1710,1711,UA,90,NA,124,131,NA,-1,6,LAX,DEN,862,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,12,2,1400,1400,1715,1711,UA,90,NA,135,131,NA,4,0,LAX,DEN,862,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,13,3,1400,1400,1706,1711,UA,90,NA,126,131,NA,-5,0,LAX,DEN,862,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,14,4,1400,1400,1709,1711,UA,90,NA,129,131,NA,-2,0,LAX,DEN,862,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,627,630,742,742,TW,223,NA,135,132,NA,0,-3,SAN,STL,813,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,630,630,805,742,TW,223,NA,155,132,NA,23,0,SAN,STL,813,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,629,630,744,751,TW,223,NA,135,141,NA,-7,-1,PHL,SFO,813,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,3,631,630,751,753,TW,223,NA,140,143,NA,-2,10,PHL,SFO,813,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,9,6,1348,1331,1458,1435,PI,942,NA,70,64,NA,23,17,SAN,SFO,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,10,7,1334,1331,1443,1435,PI,942,NA,69,64,NA,8,3,SAN,SFO,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,11,1,1446,1331,1553,1435,PI,942,NA,67,64,NA,78,75,SAN,SFO,273,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,8,5,1400,1400,1714,1711,UA,90,NA,134,131,NA,3,0,SAN,SFO,862,NA,NA,0,NA,0,NA,NA,NA,NA,NA
